,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Netherlands_result_value
0,0,20,1133,204,1934-05-27,1934,Italy,Milan,San Siro,33000.0,Groups,Switzerland,SUI,Netherlands,NED,2,1,1,1,3,2,Switzerland,2.0,1.0,1.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
1,1,41,1172,206,1938-06-05,1938,France,Le Havre,Cavee Verte,11000.0,Groups,Czechoslovakia,TCH,Netherlands,NED,0,0,3,0,3,0,Czechoslovakia,0.0,0.0,3.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
2,2,236,2098,262,1974-06-15,1974,Germany,Hanover,Niedersachsenstadion,55100.0,Groups,Uruguay,URU,Netherlands,NED,0,1,0,1,0,2,Netherlands,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
3,3,244,2097,262,1974-06-19,1974,Germany,Dortmund,Westfalenstadion,53700.0,Groups,Netherlands,NED,Sweden,SWE,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
4,4,252,1990,262,1974-06-23,1974,Germany,Dortmund,Westfalenstadion,53300.0,Groups,Bulgaria,BUL,Netherlands,NED,0,2,1,2,1,4,Netherlands,2.0,0.0,2.0,1.0,4.0,1.0,Groups,Groups,1.0,1.0,1.0
5,5,258,1948,263,1974-06-26,1974,Germany,Gelsenkirchen,Parkstadion,56548.0,Round of 16,Netherlands,NED,Argentina,ARG,2,0,2,0,4,0,Netherlands,2.0,0.0,2.0,0.0,4.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
6,6,262,2067,263,1974-06-30,1974,Germany,Gelsenkirchen,Parkstadion,68348.0,Round of 16,East Germany,GDR,Netherlands,NED,0,1,0,1,0,2,Netherlands,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
7,7,265,1983,263,1974-07-03,1974,Germany,Dortmund,Westfalenstadion,53700.0,Round of 16,Netherlands,NED,Brazil,BRA,0,0,2,0,2,0,Netherlands,0.0,0.0,2.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
8,8,269,2063,605,1974-07-07,1974,Germany,Munich,Olympiastadion,78200.0,Finals,Netherlands,NED,West Germany,FRG,1,2,0,0,1,2,West Germany,2.0,1.0,0.0,0.0,2.0,1.0,Finals,Champion,6.0,7.0,6.0
9,9,277,2388,278,1978-06-03,1978,Argentina,Mendoza,San Martin,33431.0,Groups,Netherlands,NED,Iran,IRN,1,0,2,0,3,0,Netherlands,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
10,10,286,2394,278,1978-06-07,1978,Argentina,Mendoza,San Martin,28125.0,Groups,Netherlands,NED,Peru,PER,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
11,11,294,2395,278,1978-06-11,1978,Argentina,Mendoza,San Martin,35130.0,Groups,Scotland,SCO,Netherlands,NED,1,1,2,1,3,2,Scotland,1.0,1.0,2.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
12,12,296,2220,279,1978-06-14,1978,Argentina,Córdoba,Estadio Olímpico Cordoba,25050.0,Round of 16,Netherlands,NED,Austria,AUT,3,0,2,1,5,1,Netherlands,3.0,0.0,2.0,1.0,5.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
13,13,301,2348,279,1978-06-18,1978,Argentina,Córdoba,Estadio Olímpico Cordoba,40750.0,Round of 16,West Germany,FRG,Netherlands,NED,1,1,1,1,2,2,Draw,,,,,,,Round of 16,Round of 16,2.0,2.0,2.0
14,14,303,2391,279,1978-06-21,1978,Argentina,Buenos Aires,El Monumental - Estadio Monumental Antonio Vespuci,67433.0,Round of 16,Netherlands,NED,Italy,ITA,0,1,2,0,2,1,Netherlands,0.0,1.0,2.0,0.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
15,15,308,2198,639,1978-06-25,1978,Argentina,Buenos Aires,El Monumental - Estadio Monumental Antonio Vespuci,71483.0,Finals,Argentina,ARG,Netherlands,NED,0,0,3,1,3,1,Argentina,0.0,0.0,3.0,1.0,3.0,1.0,Champion,Finals,7.0,6.0,6.0
16,16,422,151,322,1990-06-12,1990,Italy,Palermo,Della Favorita,33288.0,Groups,Netherlands,NED,Egypt,EGY,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
17,17,432,160,322,1990-06-16,1990,Italy,Cagliari,Sant Elia,35267.0,Groups,England,ENG,Netherlands,NED,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
18,18,446,228,322,1990-06-21,1990,Italy,Palermo,Della Favorita,33288.0,Groups,Republic of Ireland,IRL,Netherlands,NED,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
19,19,451,196,323,1990-06-24,1990,Italy,Milan,Giuseppe Meazza,74559.0,Round of 16,West Germany,FRG,Netherlands,NED,0,0,2,1,2,1,West Germany,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
20,20,472,3058,337,1994-06-20,1994,United States,Washington,RFK Stadium,50535.0,Groups,Netherlands,NED,Saudi Arabia,KSA,0,1,2,0,2,1,Netherlands,0.0,1.0,2.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
21,21,484,3069,337,1994-06-25,1994,United States,Orlando,Citrus Bowl,62387.0,Groups,Belgium,BEL,Netherlands,NED,0,0,1,0,1,0,Belgium,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
22,22,496,3081,337,1994-06-29,1994,United States,Orlando,Citrus Bowl,60578.0,Groups,Morocco,MAR,Netherlands,NED,0,1,1,1,1,2,Netherlands,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
23,23,504,3089,338,1994-07-04,1994,United States,Orlando,Citrus Bowl,61355.0,Round of 16,Netherlands,NED,Republic of Ireland,IRL,2,0,0,0,2,0,Netherlands,2.0,0.0,0.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
24,24,509,3098,796,1994-07-09,1994,United States,Dallas,Cotton Bowl,63500.0,Quarterfinals,Netherlands,NED,Brazil,BRA,0,0,2,3,2,3,Brazil,0.0,0.0,3.0,2.0,3.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
25,25,525,8733,1014,1998-06-13,1998,France,Saint-Denis,Stade de France,77000.0,Groups,Netherlands,NED,Belgium,BEL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
